,Product_name,price,disc_price,location
0,"Esonic H61 Motherboard with M.2 NVMe SSD Slot, Intel i3/i5/i7(2nd/3rd Generation)Rs. 2,490146 sold(59)Bagmati Province","Rs. 8,500",,Bagmati Province
1,"ESONIC H61 Motherboard with M.2 NVMe SSD Slot, Supports 2nd & 3rd Gen ProcessorRs. 2,800Gems save Rs. 8423 sold(13)Bagmati Province","Rs. 8,500",Gems save Rs. 84,Bagmati Province
2,"Matrix H61 MotherBoard with M.2 NVMe SSD Slot, Intel i3/i5/i7(2nd/3rd Generation)Rs. 2,49922 sold(6)Koshi Province","Rs. 8,500",,Bagmati Province
3,"Esonic H81 DDR-3 Intel 4th Gen NVME MotherBoardRs. 3,999Gems save Rs. 4010 sold(4)Bagmati Province","Rs. 8,500",Gems save Rs. 40,Bagmati Province
4,"ESONIC H61 Motherboard with M.2 NVMe SSD Slot, Supports 2nd & 3rd Gen ProcessorRs. 2,49052 sold(22)Bagmati Province","Rs. 8,500",,Bagmati Province
5,"H61 Motherboard With NVME Slot Supports i3, i5, i7 2nd & 3rd generation processorRs. 2,550Gems save Rs. 2611 sold(5)Madhesh Province","Rs. 8,500",Gems save Rs. 26,Bagmati Province
6,"Gigabyte B450M K Ultra Durable MotherboardRs. 13,499Gems save Rs. 405(2)Bagmati Province","Rs. 8,500",Gems save Rs. 405,Bagmati Province
7,"VARTEX H61-V8 Pro Series Motherboard with NVMe M.2 SSD Slot – LGA1155, Supports Intel i3/i5/i7 (2nd/3rd Gen Processors)Rs. 3,200(1)Bagmati Province","Rs. 8,500",,Bagmati Province
8,"Esonic H61 Motherboard 3rd Gen Intel H61 Chipset with M.2 NVMe Slot Supporting i3 / i5 / i7 ProcessorsRs. 2,999Gems save Rs. 3010 sold(4)Bagmati Province","Rs. 8,500",Gems save Rs. 30,Bagmati Province
9,"Esonic H61 Motherboard With M.2 NVMe SSD Slot Supports Intel i3 | i5 | i7(2nd | 3rd Generation)Rs. 2,449Koshi Province","Rs. 8,500",,Bagmati Province
10,"Esonic G41 MotherboardRs. 3,29019 sold(7)Bagmati Province","Rs. 8,500",,Bagmati Province
11,"High quality ESONIC H81 motherboards LGA1150 4th Gen i3 i5 i7 CPU computer motherboard ddr3Rs. 3,950Gems save Rs. 1185 sold(1)Bagmati Province","Rs. 8,500",Gems save Rs. 118,Bagmati Province
12,"ESP-32S ESP32 Development Board 2.4GHz WiFi + Bluetooth Dual Mode Antenna Module Networking Smart ComponentsRs. 1,160(1)Bagmati Province","Rs. 8,500",,Bagmati Province
13,"ESONIC H81 Motherboard with M.2 NVMe SSD Slot , Supports 4th Gen ProcessorRs. 4,19913 sold(9)Bagmati Province","Rs. 8,500",,Bagmati Province
14,"ESONIC H110 Motherboard witn M.2 NVMe Slot, Supports 6th, 7th, 8th & 9th Gen ProcessorRs. 6,500Gems save Rs. 1959 sold(5)Bagmati Province","Rs. 8,500",Gems save Rs. 195,Bagmati Province
15,"ESONIC H81 Motherboard with M.2 NVMe SSD Slot , Supports 4th Gen ProcessorRs. 3,875(2)Bagmati Province","Rs. 8,500",,Bagmati Province
16,"Esonic G41 Mother BoardRs. 2,99912 sold(3)Koshi Province","Rs. 8,500",,Bagmati Province
17,"H310 8TH Gen MotherBoardRs. 5,999Gems save Rs. 606 sold(3)Bagmati Province","Rs. 8,500",Gems save Rs. 60,Bagmati Province
18,"Combo Of NVME Powered Zebronics H81M2 And i3 4th Generation ProcessorRs. 6,5005 sold(4)Gandaki Province","Rs. 8,500",,Bagmati Province
19,"Esonic Motherboard H61-FHL For Core 2nd/3th Generation I3/i5/i7 ProcessorRs. 4,39517 sold(7)Bagmati Province","Rs. 8,500",,Bagmati Province
20,"ESONIC H81 Motherboard  with M.2 NVMe SSD Slot, Supports 4th Generatiion ProcessorRs. 5,000Gems save Rs. 15010 sold(4)Bagmati Province","Rs. 8,500",Gems save Rs. 150,Bagmati Province
21,"ESONIC H110DA1 Micro ATX DDR4 Motherboard - Intel H110 Chipset  for 6th / 7th / 8th / 9th Generation Core™ i7 / Core™ i5 / Core™ i3 ProcessorRs. 5,999Gems save Rs. 607 sold(2)Bagmati Province","Rs. 8,500",Gems save Rs. 60,Bagmati Province
22,"ESONIC H81 Motherboard with M.2 NVMe SSD Slot , Supports 4th Gen ProcessorRs. 3,999Gems save Rs. 4011 sold(3)Bagmati Province","Rs. 8,500",Gems save Rs. 40,Bagmati Province
23,"Esonic H61 Motherboard For Intel i3/i5/i7(2nd/3rd Generation)Rs. 3,639Gems save Rs. 36(1)Bagmati Province","Rs. 8,500",Gems save Rs. 36,Bagmati Province
24,"Esonic H610-DA Motherboard Intel H610 Chipset，Intel Socket 1700 for 12th Gen Core i9/i7/i5 Processors，DDR4，M.2，PCIE-X16 3.0，PCIE-X1，SATA 3.0，USB 3.0Rs. 9,500Gems save Rs. 285(2)Bagmati Province","Rs. 8,500",Gems save Rs. 285,Bagmati Province
25,"Combo Of NVME Powered Zebronics H81M2 And i7 4th Generation ProcessorRs. 12,000(3)Gandaki Province","Rs. 8,500",,Bagmati Province
26,"Combo Of NVME Powered Zebronics H61M2  And i3 2nd Generation ProcessorRs. 4,500(2)Gandaki Province","Rs. 8,500",,Bagmati Province
27,RP 2040 Board Pico- ADIY FLYRs. 770(1)Bagmati Province,"Rs. 8,500",,Bagmati Province
28,"Gigabyte B550M K Ultra Durable MotherboardRs. 17,999Gems save Rs. 540(1)Bagmati Province","Rs. 8,500",Gems save Rs. 540,Bagmati Province
29,"Combo Of NVME Powered Zebronics H81M2 And i5 4th Generation ProcessorRs. 8,000(1)Gandaki Province","Rs. 8,500",,Bagmati Province
30,"GIGABYTE ATX A520M K V2 Motherboard with GBe LAN with Bandwidth Management, DDR4, Pcie 3.0 X4 M.2, Smart Fan 5, Anti-Sulfur Resistors DesignRs. 15,500Gems save Rs. 465(1)Gandaki Province","Rs. 8,500",Gems save Rs. 465,Bagmati Province
31,"h61 motherboard 3rd gen i3 i5 i7 processor support plus m.2 nvme portRs. 2,9995 sold(2)Bagmati Province","Rs. 8,500",,Bagmati Province
32,"Gigabyte B550 Gaming X V2 ATX Gaming Motherboard For Ryzen 5000,7000 Series.Rs. 24,500Gems save Rs. 735(1)Gandaki Province","Rs. 8,500",Gems save Rs. 735,Bagmati Province
33,"Gigabyte B550 Gaming X V2 MotherboardRs. 24,999Gems save Rs. 750(1)Bagmati Province","Rs. 8,500",Gems save Rs. 750,Bagmati Province
34,"ESONIC H110 Motherboard witn M.2 NVMe Slot, Supports 6th, 7th, 8th & 9th Gen ProcessorRs. 5,999(1)Bagmati Province","Rs. 8,500",,Bagmati Province
35,2 Digit PCI POST Diagnostic Motherboard Debugging CardRs. 390Gems save Rs. 48 sold(2)Bagmati Province,"Rs. 8,500",Gems save Rs. 4,Bagmati Province
36,"Milk-V Duo 256MB Milk-V-Duo-256M SG2002 RISC V Linux BoardRs. 6,006Gems save Rs. 120(1)Overseas","Rs. 8,500",Gems save Rs. 120,Bagmati Province
37,"i5 4th Generation Processors For H81 Mainboards(Box And Fan Not included)Rs. 4,400Gems save Rs. 44(1)Bagmati Province","Rs. 8,500",Gems save Rs. 44,Bagmati Province
38,"ESONIC H81 Motherboard with M.2 NVMe SSD Slot, Supports 4th Generation Processor[SuperFast Delivery Pokhara Kathmandu]Rs. 3,900Gems save Rs. 117(1)Gandaki Province","Rs. 8,500",Gems save Rs. 117,Bagmati Province
39,"Consistent H610 DDR4 Motherboard Support 12th Gen.(LGA 1200), DDR4 3200/2666/2400Mhz, DDR4 SDRAM 64GB,2 * 288-pinRs. 8,500Bagmati Province","Rs. 8,500",,Bagmati Province
